filename,unique_id,Total,chromosome,ecDNA
NCIH2170_TOTAL_HER2_R1_G2_24_10_68_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_68_Merge(RGB),402,0,402
NCIH2170_HIGH_HER2_R1_G0_2501_76_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_76,131,12,119
NCIH2170_TOTAL_HER2_R1_G0_2501_109A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_109A,255,0,255
NCIH2170_TOTAL_HER2_R1_G1_2404_114_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_114_Merge(RGB),221,4,217
NCIH2170_HIGH_HER2_R1_G1_2404_S2_25_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_25_Merge(RGB),122,5,117
NCIH2170_HIGH_HER2_R1_G2_24_10_97_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_97_Merge(RGB),202,42,160
NCIH2170_HIGH_HER2_R1_G0_2501_4_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_4,198,7,191
NCIH2170_HIGH_HER2_R1_G0_2501_104_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_104,281,14,267
NCIH2170_HIGH_HER2_R1_G2_24_10_70_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_70_Merge(RGB),115,3,112
NCIH2170_TOTAL_HER2_R1_G0_2501_7_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_7,154,15,139
NCIH2170_HIGH_HER2_R1_G0_2501_84_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_84,195,2,193
NCIH2170_TOTAL_HER2_R1_G2_24_10_99_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_99_Merge(RGB),561,2,559
NCIH2170_HIGH_HER2_R1_G1_2404_S2_26_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_26_Merge(RGB),419,14,405
NCIH2170_TOTAL_HER2_R1_G2_24_10_105_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_105_Merge(RGB),436,1,435
NCIH2170_LOW_HER2_R1_G0_2501_13_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_13,228,5,223
NCIH2170_LOW_HER2_R1_G2_24_10_14_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_14_Merge(RGB),89,9,80
NCIH2170_TOTAL_HER2_R1_G0_2501_108_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_108,178,0,178
NCIH2170_TOTAL_HER2_R1_G2_24_10_57_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_57_Merge(RGB),486,2,484
NCIH2170_LOW_HER2_R1_G2_24_10_58_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_58_Merge(RGB),703,0,703
NCIH2170_TOTAL_HER2_R1_G0_2501_5_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_5,126,9,117
NCIH2170_LOW_HER2_R1_G1_2404_64_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_64_Merge(RGB),182,3,179
NCIH2170_LOW_HER2_R1_G0_2501_101_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_101,206,0,206
NCIH2170_HIGH_HER2_R1_G2_24_10_92_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_92_Merge(RGB),144,38,106
NCIH2170_TOTAL_HER2_R1_G2_24_10_47_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_47_Merge(RGB),164,1,163
NCIH2170_TOTAL_HER2_R1_G1_2404_23_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_23_Merge(RGB),212,4,208
NCIH2170_LOW_HER2_R1_G0_2501_85_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_85,175,6,169
NCIH2170_HIGH_HER2_R1_G0_2501_30_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_30,283,2,281
NCIH2170_TOTAL_HER2_R1_G1_2404_40_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_40_Merge(RGB),133,14,119
NCIH2170_TOTAL_HER2_R1_G2_24_10_50_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_50_Merge(RGB),166,12,154
NCIH2170_TOTAL_HER2_R1_G1_2404_62_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_62_Merge(RGB),87,2,85
NCIH2170_LOW_HER2_R1_G0_2501_128_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_128,212,19,193
NCIH2170_HIGH_HER2_R1_G0_2501_54_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_54,227,18,209
NCIH2170_HIGH_HER2_R1_G2_24_10_42_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_42_Merge(RGB),132,8,124
NCIH2170_HIGH_HER2_R1_G1_2404_S2_107_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_107_Merge(RGB),147,0,147
NCIH2170_LOW_HER2_R1_G0_2501_18_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_18,354,3,351
NCIH2170_LOW_HER2_R1_G0_2501_65_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_65,132,6,126
NCIH2170_TOTAL_HER2_R1_G2_24_10_128_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_128_Merge(RGB),402,0,402
NCIH2170_LOW_HER2_R1_G0_2501_97_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_97,127,0,127
NCIH2170_TOTAL_HER2_R1_G2_24_10_35_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_35_Merge(RGB),324,9,315
NCIH2170_HIGH_HER2_R1_G1_2404_S2_72_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_72_Merge(RGB),421,16,405
NCIH2170_LOW_HER2_R1_G2_24_10_6_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_6_Merge(RGB),159,3,156
NCIH2170_TOTAL_HER2_R1_G0_2501_73_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_73,211,0,211
NCIH2170_HIGH_HER2_R1_G0_2501_103_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_103,132,4,128
NCIH2170_TOTAL_HER2_R1_G2_24_10_41_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_41_Merge(RGB),114,0,114
NCIH2170_HIGH_HER2_R1_G1_2404_S2_127_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_127_Merge(RGB),107,1,106
NCIH2170_HIGH_HER2_R1_G1_2404_S2_101_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_101_Merge(RGB),169,0,169
NCIH2170_HIGH_HER2_R1_G2_24_10_126_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_126_Merge(RGB),202,8,194
NCIH2170_HIGH_HER2_R1_G2_24_10_116_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_116_Merge(RGB),375,4,371
NCIH2170_LOW_HER2_R1_G1_2404_82_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_82_Merge(RGB),229,15,214
NCIH2170_HIGH_HER2_R1_G2_24_10_61_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_61_Merge(RGB),154,20,134
NCIH2170_HIGH_HER2_R1_G1_2404_S2_20_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_20_Merge(RGB),299,1,298
NCIH2170_TOTAL_HER2_R1_G0_2501_52_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_52,124,1,123
NCIH2170_TOTAL_HER2_R1_G0_2501_31_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_31,172,1,171
NCIH2170_HIGH_HER2_R1_G2_24_10_108B_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_108B_Merge(RGB),58,1,57
NCIH2170_TOTAL_HER2_R1_G2_24_10_122_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_122_Merge(RGB),432,1,431
NCIH2170_TOTAL_HER2_R1_G1_2404_52_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_52_Merge(RGB),194,2,192
NCIH2170_HIGH_HER2_R1_G0_2501_79_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_79,252,3,249
NCIH2170_TOTAL_HER2_R1_G2_24_10_9_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_9_Merge(RGB),450,1,449
NCIH2170_TOTAL_HER2_R1_G0_2501_70_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_70,170,0,170
NCIH2170_HIGH_HER2_R1_G2_24_10_84_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_84_Merge(RGB),141,15,126
NCIH2170_TOTAL_HER2_R1_G0_2501_57_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_57,187,0,187
NCIH2170_LOW_HER2_R1_G2_24_10_62_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_62_Merge(RGB),154,24,130
NCIH2170_TOTAL_HER2_R1_G0_2501_114A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_114A,181,8,173
NCIH2170_TOTAL_HER2_R1_G2_24_10_27_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_27_Merge(RGB),66,7,59
NCIH2170_HIGH_HER2_R1_G0_2501_43_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_43,229,2,227
NCIH2170_TOTAL_HER2_R1_G0_2501_117_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_117,236,11,225
NCIH2170_HIGH_HER2_R1_G1_2404_S2_92_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_92_Merge(RGB),87,0,87
NCIH2170_LOW_HER2_R1_G0_2501_43_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_43,100,1,99
NCIH2170_LOW_HER2_R1_G0_2501_48_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_48,130,8,122
NCIH2170_LOW_HER2_R1_G1_2404_76_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_76_Merge(RGB),157,3,154
NCIH2170_HIGH_HER2_R1_G2_24_10_80_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_80_Merge(RGB),230,12,218
NCIH2170_HIGH_HER2_R1_G1_2404_S2_52_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_52_Merge(RGB),117,4,113
NCIH2170_TOTAL_HER2_R1_G0_2501_61_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_61,227,0,227
NCIH2170_HIGH_HER2_R1_G1_2404_S2_12_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_12_Merge(RGB),238,10,228
NCIH2170_HIGH_HER2_R1_G0_2501_69_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_69,137,5,132
NCIH2170_TOTAL_HER2_R1_G1_2404_91_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_91_Merge(RGB),157,14,143
NCIH2170_HIGH_HER2_R1_G1_2404_S2_19_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_19_Merge(RGB),89,4,85
NCIH2170_LOW_HER2_R1_G2_24_10_93B_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_93B_Merge(RGB),162,0,162
NCIH2170_TOTAL_HER2_R1_G1_2404_65_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_65_Merge(RGB),143,2,141
NCIH2170_TOTAL_HER2_R1_G2_24_10_43_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_43_Merge(RGB),247,34,213
NCIH2170_TOTAL_HER2_R1_G1_2404_20_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_20_Merge(RGB),156,2,154
NCIH2170_HIGH_HER2_R1_G0_2501_15B_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_15B,143,2,141
NCIH2170_HIGH_HER2_R1_G2_24_10_100_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_100_Merge(RGB),121,33,88
NCIH2170_TOTAL_HER2_R1_G0_2501_76_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_76,241,6,235
NCIH2170_HIGH_HER2_R1_G1_2404_S2_125_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_125_Merge(RGB),70,1,69
NCIH2170_TOTAL_HER2_R1_G0_2501_62_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_62,289,4,285
NCIH2170_HIGH_HER2_R1_G1_2404_S2_95_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_95_Merge(RGB),124,0,124
NCIH2170_HIGH_HER2_R1_G0_2501_95_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_95,152,2,150
NCIH2170_TOTAL_HER2_R1_G2_24_10_91_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_91_Merge(RGB),481,0,481
NCIH2170_HIGH_HER2_R1_G1_2404_S2_74_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_74_Merge(RGB),118,0,118
NCIH2170_HIGH_HER2_R1_G1_2404_S2_59_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_59_Merge(RGB),157,16,141
NCIH2170_TOTAL_HER2_R1_G1_2404_14_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_14_Merge(RGB),82,0,82
NCIH2170_LOW_HER2_R1_G2_24_10_86_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_86_Merge(RGB),174,0,174
NCIH2170_HIGH_HER2_R1_G2_24_10_93_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_93_Merge(RGB),277,32,245
NCIH2170_LOW_HER2_R1_G1_2404_17_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_17_Merge(RGB),139,2,137
NCIH2170_LOW_HER2_R1_G2_24_10_100_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_100_Merge(RGB),194,6,188
NCIH2170_HIGH_HER2_R1_G2_24_10_16_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_16_Merge(RGB),384,15,369
NCIH2170_LOW_HER2_R1_G2_24_10_13_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_13_Merge(RGB),161,14,147
NCIH2170_LOW_HER2_R1_G2_24_10_92_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_92_Merge(RGB),151,16,135
NCIH2170_HIGH_HER2_R1_G1_2404_S2_113_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_113_Merge(RGB),411,1,410
NCIH2170_HIGH_HER2_R1_G0_2501_86_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_86,236,3,233
NCIH2170_HIGH_HER2_R1_G2_24_10_88_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_88_Merge(RGB),164,12,152
NCIH2170_TOTAL_HER2_R1_G2_24_10_118_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_118_Merge(RGB),94,0,94
NCIH2170_HIGH_HER2_R1_G2_24_10_98_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_98_Merge(RGB),273,42,231
NCIH2170_LOW_HER2_R1_G2_24_10_38_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_38_Merge(RGB),79,9,70
NCIH2170_LOW_HER2_R1_G0_2501_77_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_77,239,6,233
NCIH2170_HIGH_HER2_R1_G1_2404_S2_129_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_129_Merge(RGB),341,11,330
NCIH2170_HIGH_HER2_R1_G0_2501_83_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_83,137,0,137
NCIH2170_HIGH_HER2_R1_G0_2501_68_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_68,217,6,211
NCIH2170_HIGH_HER2_R1_G0_2501_60_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_60,347,0,347
NCIH2170_TOTAL_HER2_R1_G0_2501_118_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_118,73,4,69
NCIH2170_HIGH_HER2_R1_G0_2501_22_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_22,280,2,278
NCIH2170_HIGH_HER2_R1_G2_24_10_87_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_87_Merge(RGB),271,4,267
NCIH2170_HIGH_HER2_R1_G2_24_10_115_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_115_Merge(RGB),191,1,190
NCIH2170_TOTAL_HER2_R1_G0_2501_105_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_105,128,2,126
NCIH2170_LOW_HER2_R1_G0_2501_120_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_120,217,7,210
NCIH2170_LOW_HER2_R1_G1_2404_38_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_38_Merge(RGB),120,12,108
NCIH2170_TOTAL_HER2_R1_G2_24_10_18_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_18_Merge(RGB),318,0,318
NCIH2170_TOTAL_HER2_R1_G1_2404_58_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_58_Merge(RGB),204,0,204
NCIH2170_LOW_HER2_R1_G0_2501_20_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_20,74,7,67
NCIH2170_LOW_HER2_R1_G1_2404_32_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_32_Merge(RGB),308,2,306
NCIH2170_HIGH_HER2_R1_G0_2501_109_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_109,410,2,408
NCIH2170_LOW_HER2_R1_G0_2501_28_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_28,165,10,155
NCIH2170_HIGH_HER2_R1_G1_2404_S2_31_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_31_Merge(RGB),247,19,228
NCIH2170_TOTAL_HER2_R1_G0_2501_103_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_103,127,0,127
NCIH2170_TOTAL_HER2_R1_G1_2404_48_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_48_Merge(RGB),170,0,170
NCIH2170_TOTAL_HER2_R1_G2_24_10_25_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_25_Merge(RGB),213,0,213
NCIH2170_LOW_HER2_R1_G2_24_10_40_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_40_Merge(RGB),81,4,77
NCIH2170_HIGH_HER2_R1_G0_2501_71_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_71,342,0,342
NCIH2170_HIGH_HER2_R1_G2_24_10_62_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_62_Merge(RGB),236,8,228
NCIH2170_TOTAL_HER2_R1_G1_2404_106_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_106_Merge(RGB),224,20,204
NCIH2170_HIGH_HER2_R1_G1_2404_S2_57_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_57_Merge(RGB),440,0,440
NCIH2170_HIGH_HER2_R1_G2_24_10_9_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_9_Merge(RGB),320,11,309
NCIH2170_HIGH_HER2_R1_G1_2404_S2_41_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_41_Merge(RGB),260,55,205
NCIH2170_TOTAL_HER2_R1_G1_2404_120_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_120_Merge(RGB),260,2,258
NCIH2170_LOW_HER2_R1_G2_24_10_123_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_123_Merge(RGB),180,12,168
NCIH2170_TOTAL_HER2_R1_G2_24_10_26_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_26_Merge(RGB),311,6,305
NCIH2170_HIGH_HER2_R1_G2_24_10_7_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_7_Merge(RGB),305,23,282
NCIH2170_TOTAL_HER2_R1_G2_24_10_74_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_74_Merge(RGB),159,0,159
NCIH2170_LOW_HER2_R1_G0_2501_12B_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_12B,178,1,177
NCIH2170_TOTAL_HER2_R1_G1_2404_69_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_69_Merge(RGB),270,0,270
NCIH2170_HIGH_HER2_R1_G0_2501_118_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_118,226,17,209
NCIH2170_HIGH_HER2_R1_G0_2501_58_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_58,200,3,197
NCIH2170_HIGH_HER2_R1_G1_2404_S2_60_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_60_Merge(RGB),215,0,215
NCIH2170_HIGH_HER2_R1_G2_24_10_34_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_34_Merge(RGB),301,25,276
NCIH2170_LOW_HER2_R1_G0_2501_1_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_1,157,4,153
NCIH2170_LOW_HER2_R1_G2_24_10_98_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_98_Merge(RGB),267,0,267
NCIH2170_HIGH_HER2_R1_G1_2404_S2_14_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_14_Merge(RGB),384,13,371
NCIH2170_LOW_HER2_R1_G2_24_10_113_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_113_Merge(RGB),430,13,417
NCIH2170_TOTAL_HER2_R1_G1_2404_118_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_118_Merge(RGB),215,0,215
NCIH2170_TOTAL_HER2_R1_G2_24_10_11_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_11_Merge(RGB),253,5,248
NCIH2170_HIGH_HER2_R1_G1_2404_S2_49_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_49_Merge(RGB),219,0,219
NCIH2170_HIGH_HER2_R1_G0_2501_92_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_92,148,12,136
NCIH2170_TOTAL_HER2_R1_G2_24_10_92_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_92_Merge(RGB),462,1,461
NCIH2170_LOW_HER2_R1_G1_2404_14_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_14_Merge(RGB),197,32,165
NCIH2170_TOTAL_HER2_R1_G2_24_10_31_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_31_Merge(RGB),556,13,543
NCIH2170_TOTAL_HER2_R1_G0_2501_75_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_75,158,0,158
NCIH2170_TOTAL_HER2_R1_G2_24_10_32_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_32_Merge(RGB),590,5,585
NCIH2170_LOW_HER2_R1_G1_2404_16_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_16_Merge(RGB),37,0,37
NCIH2170_HIGH_HER2_R1_G0_2501_97_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_97,362,11,351
NCIH2170_HIGH_HER2_R1_G1_2404_S2_94_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_94_Merge(RGB),92,0,92
NCIH2170_LOW_HER2_R1_G0_2501_96_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_96,132,15,117
